"site_no","date","sscmgL"
"02358000",1993-03-24,13
"02353000",1991-10-09,5
"02358000",1991-01-30,12
"02332830",1993-12-15,7
"02335870",1993-12-22,5
"02335000",1993-09-15,4
"02338000",1991-01-07,7
"02343801",1992-09-03,6
"02358000",1993-01-27,14
"02356980",1993-03-02,9
"02331600",1992-07-16,8
"02356980",1993-03-31,17
"02358000",1991-03-11,16
"02338000",1993-05-18,24
"02358000",1993-01-27,15
"02336728",1993-06-22,18
"02356980",1993-05-18,13
"02358000",1993-12-01,6
"02338000",1991-07-29,44
"02331600",1991-12-19,10
"02339500",1993-06-23,14
"02333500",1993-12-02,2
"02353000",1991-10-09,5
"02331600",1991-11-15,7
"02356980",1993-03-09,10
"02358000",1991-03-05,27
"02336300",1993-06-14,1570
"02358000",1991-03-03,20
"02353000",1993-03-19,31
"02353000",1993-11-12,9
"02335870",1993-05-25,14
"02350080",1993-07-13,11
"02358000",1993-03-24,12
"02333970",1993-06-23,14
"02343801",1993-08-25,2
"02358000",1993-12-01,9
"02338000",1993-08-25,25
"023358694",1993-05-19,534
"02343801",1993-06-09,9
"02336300",1993-05-17,21
"02331600",1993-06-16,9
"02353000",1990-02-16,7
"02335000",1993-06-22,8
"02338000",1991-01-31,405
"02331650",1993-06-14,24
"02336380",1993-06-17,15
"02358000",1990-02-10,12
"02331600",1993-05-06,15
"02353000",1993-09-30,1
"02336300",1993-06-22,23
"02358000",1992-02-18,14
"02346575",1993-06-24,4
"02358000",1990-01-24,15
"02331600",1991-10-03,5
"02350080",1993-03-30,17
"02338000",1993-12-22,24
"02358000",1990-02-19,17
"02358000",1992-03-02,11
"02349500",1993-06-10,22
"02332830",1993-07-20,8
"02350080",1993-06-01,5
"02350080",1993-11-01,12
"02336300",1993-11-16,5
"02358000",1990-02-10,12
"02358000",1993-03-24,15
"02353000",1993-08-25,3
"02331600",1993-02-11,5
"02335870",1993-04-26,58
"02358000",1991-11-14,4
"02332830",1993-05-21,15
"02350080",1993-09-20,10
"02342070",1993-06-17,11
"02353000",1991-07-02,17
"02353000",1993-12-03,12
"02356980",1993-04-28,10
"02333500",1991-05-20,45
"02353000",1993-07-21,7
"02333500",1991-03-29,580
"02337500",1993-12-16,1
"02358000",1993-03-24,13
"02358000",1993-01-27,13
"02337500",1993-10-15,4
"02358000",1992-11-30,18
"02356980",1993-06-01,5
"02358000",1992-11-17,10
"02358000",1991-03-02,11
"02358000",1991-03-06,28
"02333500",1993-09-10,5
"02358000",1992-11-17,11
"02358000",1993-03-24,12
"02353000",1992-07-09,7
"02358000",1992-11-28,33
"02358000",1992-02-18,14
"02358000",1992-11-28,50
"02333500",1992-02-25,733
"02358000",1992-11-30,20
"02358000",1992-03-02,10
"02333500",1992-08-27,10
"02358000",1992-02-20,15
"02358000",1991-03-06,24
"02353000",1992-12-01,89
"02358000",1991-03-11,22
"02358000",1992-11-28,33
"02343801",1991-05-23,11
"02358000",1992-11-17,12
"02333500",1991-02-28,4
"02353000",1991-05-24,18
"02358000",1991-03-03,19
"02358000",1991-11-14,4
"02358000",1992-11-26,13
"02358000",1992-01-21,9
"02353000",1992-07-30,8
"02333500",1990-09-10,68
"02358000",1992-11-26,12
"02358000",1992-11-26,13
"02358000",1992-12-07,14
"02331600",1991-08-15,35
"02358000",1992-01-07,3
"02358000",1992-12-01,19
"02358000",1992-01-07,5
"02358000",1992-11-30,21
"02331600",1992-06-10,16
"02358000",1991-03-02,9
"02333500",1992-06-10,47
"02353000",1992-11-29,75
"02358000",1992-11-28,38
"02338000",1992-01-14,15
"02331600",1992-04-30,3
"02353000",1992-03-26,10
"02333500",1991-03-29,1540
"02358000",1991-03-11,20
"02338000",1990-06-04,29
"02338000",1992-12-18,519
"02333500",1992-02-25,325
"02358000",1992-11-17,10
"02343801",1992-05-21,10
"02333500",1992-11-19,2
"02343801",1991-11-07,14
"02338000",1992-01-14,14
"02353000",1992-11-27,14
"02331600",1992-04-30,5
"02358000",1990-01-24,20
"02353000",1992-12-01,86
"02333500",1992-06-10,51
"02358000",1992-11-26,13
"02331600",1991-02-28,6
"02353000",1991-07-02,19
"02338000",1992-09-23,25
"02333500",1992-10-01,1
"02358000",1991-03-05,25
"02358000",1992-12-01,15
"02353000",1992-11-29,57
"02358000",1992-02-24,22
"02358000",1992-11-30,22
"02358000",1991-11-14,4
"02358000",1992-12-07,15
"02353000",1992-12-05,10
"02353000",1992-04-16,3
"02358000",1991-03-06,24
"02343801",1992-03-26,15
"02358000",1992-11-25,12
"02333500",1992-02-25,811
"02358000",1992-02-18,14
"02353000",1992-12-03,57
"02358000",1992-11-28,46
"02358000",1991-03-02,16
"02331600",1991-05-23,15
"02358000",1991-03-06,36
"02358000",1992-01-07,2
"02353000",1991-02-22,17
"02358000",1991-11-14,4
"02358000",1990-11-02,10
"02358000",1992-02-24,17
"02358000",1992-01-07,5
"02353000",1992-09-15,5
"02358000",1992-02-20,13
"02333500",1992-03-17,17
"02333500",1991-11-15,6
"02338000",1992-04-06,7
"02331600",1990-03-17,661
"02331600",1991-12-19,12
"02358000",1992-11-25,9
"02358000",1992-12-07,15
"02358000",1992-03-02,13
"02358000",1992-11-25,12
"02331600",1992-07-16,7
"02358000",1992-12-07,16
"02333500",1991-02-28,4
"02331600",1992-08-27,3
"02358000",1992-11-25,11
"02338000",1992-12-17,402
"02333500",1991-03-29,892
"02343801",1992-07-30,10
"02358000",1992-11-26,15
"02358000",1992-11-30,20
"02358000",1992-02-19,32
"02358000",1991-11-14,6
"02358000",1992-11-26,13
"02343801",1992-11-05,49
"02358000",1992-02-19,16
"02353000",1991-04-25,30
"02358000",1992-11-25,9
"02358000",1991-03-11,18
"02358000",1990-02-26,24
"02358000",1990-02-19,14
"02353000",1992-05-21,10
"02358000",1992-02-24,18
"02358000",1992-03-02,9
"02358000",1992-12-01,15
"02358000",1992-02-18,14
"02358000",1992-03-02,8
"02358000",1992-11-26,13
"02333500",1992-08-27,8
"02358000",1990-02-26,20
"02358000",1990-02-26,26
"02358000",1992-01-07,5
"02338000",1991-01-07,8
"02358000",1992-12-01,16
"02358000",1990-03-02,25
"02333500",1991-03-29,955
"02331600",1990-02-27,9
"02331600",1991-04-11,20
"02358000",1992-02-19,22
"02358000",1992-02-24,13
"02358000",1992-12-07,15
"02338000",1992-08-19,48
"02353000",1992-12-07,16
"02358000",1991-03-06,22
"02338000",1992-07-01,85
"02338000",1990-10-10,32
"02358000",1992-11-28,50
"02358000",1992-12-01,15
"02358000",1992-02-24,19
"02353000",1990-09-24,8
"02333500",1991-08-15,30
"02331600",1991-01-17,5
"02353000",1992-12-03,60
"02353000",1992-06-01,6
"02353000",1990-08-22,6
"02358000",1992-02-19,18
"02358000",1992-02-18,12
"02333500",1990-02-27,15
"02338000",1992-12-17,1010
"02358000",1992-11-25,13
"02333500",1992-04-30,3
"02353000",1990-03-18,42
"02353000",1992-01-24,18
"02333500",1992-07-16,2
"02338000",1992-12-19,203
"02358000",1990-02-23,16
"02343801",1990-05-17,12
"02358000",1992-02-24,16
"02333500",1991-03-29,629
"02358000",1990-02-10,12
"02358000",1990-02-19,15
"02358000",1990-02-10,12
"02358000",1992-11-28,41
"02358000",1990-12-19,6
"02358000",1990-02-26,19
"02358000",1990-02-23,25
"02353000",1992-06-01,7
"02331600",1990-03-26,11
"02338000",1991-06-10,30
"02358000",1992-11-17,10
"02358000",1990-03-02,20
"02358000",1990-03-02,19
"02358000",1992-02-24,21
"02358000",1992-01-07,5
"02353000",1992-07-09,6
"02353000",1992-03-09,13
"02338000",1990-06-04,32
"02353000",1992-11-05,7
"02353000",1992-01-24,19
"02333500",1991-02-20,269
"02358000",1992-11-30,18
"02358000",1992-02-18,10
"02358000",1992-02-18,12
"02353000",1990-11-02,8
"02338000",1992-12-19,202
"02353000",1990-03-21,80
"02353000",1992-12-05,11
"02358000",1992-02-20,22
"02358000",1992-12-01,16
"02358000",1991-03-03,18
"02333500",1991-05-20,41
"02331600",1992-02-26,567
"02353000",1990-11-05,8
"02353000",1990-07-26,10
"02353000",1992-11-20,8
"02358000",1992-02-18,13
"02353000",1990-03-27,32
"02358000",1992-02-20,14
"02331600",1991-01-17,3
"02331600",1991-06-28,44
"02358000",1992-03-02,12
"02358000",1992-02-24,13
"02333500",1990-03-26,30
"02338000",1991-02-25,40
"02358000",1992-02-19,29
"02333500",1990-10-22,6
"02331600",1990-01-11,7
"02333500",1992-01-30,5
"02333500",1991-02-20,264
"02333500",1991-02-20,275
"02333500",1990-10-22,6
"02343801",1991-07-11,8
"02358000",1992-02-24,25
"02338000",1992-12-18,496
"02353000",1990-03-24,36
"02358000",1992-01-07,4
"02333500",1991-10-03,6
"02333500",1992-02-26,282
"02358000",1992-11-26,13
"02358000",1990-02-26,16
"02358000",1990-11-02,7
"02338000",1990-03-12,51
"02358000",1990-12-19,8
"02358000",1992-02-18,14
"02353000",1992-04-16,4
"02331600",1992-06-10,17
"02358000",1990-02-26,21
"02353000",1990-02-16,6
"02358000",1992-11-17,11
"02333500",1992-10-01,2
"02353000",1990-04-02,7
"02343801",1991-04-26,10
"02358000",1991-11-14,6
"02358000",1992-12-07,16
"02358000",1992-11-28,39
"02358000",1990-12-19,9
"02358000",1991-03-05,39
"02353000",1991-02-22,15
"02338000",1991-02-11,8
"02358000",1990-02-10,13
"02358000",1991-03-05,26
"02331600",1991-08-15,34
"02331600",1992-03-17,6
"02353000",1990-05-11,30
"02358000",1991-03-11,18
"02358000",1991-03-05,21
"02358000",1992-11-28,47
"02358000",1990-02-23,25
"02358000",1992-11-17,9
"02358000",1990-01-24,17
"02358000",1992-02-24,16
"02338000",1990-01-29,72
"02353000",1991-05-24,17
"02338000",1991-10-21,9
"02358000",1992-03-02,9
"02358000",1992-01-07,5
"02358000",1991-03-05,32
"02353000",1990-03-22,113
"02353000",1991-08-02,18
"02338000",1990-04-23,16
"02333500",1990-08-06,37
"02333500",1991-06-28,58
"02353000",1991-12-06,3
"02358000",1991-03-02,12
"02358000",1991-03-05,40
"02343801",1990-01-25,26
"02333500",1991-01-17,5
"02331600",1991-11-15,9
"02358000",1991-03-05,37
"02358000",1990-12-19,8
"02338000",1991-02-11,8
"02358000",1990-02-19,16
"02358000",1990-03-02,23
"02338000",1991-12-02,51
"02358000",1991-03-06,22
"02353000",1991-08-02,17
"02358000",1990-02-10,12
"02338000",1991-10-21,8
"02343801",1991-01-31,89
"02331600",1990-12-06,5
"02358000",1991-03-03,13
"02353000",1991-04-19,17
"02353000",1990-12-14,10
"02331600",1991-06-28,46
"02331600",1991-05-23,12
"02333500",1991-02-21,43
"02333500",1990-12-06,8
"02331600",1990-12-06,5
"02358000",1991-03-03,19
"02331600",1990-10-22,20
"02358000",1990-03-02,23
"02331600",1990-03-17,646
"02333500",1991-10-03,6
"02358000",1990-11-02,10
"02333500",1991-04-08,28
"02358000",1990-02-19,16
"02331600",1990-03-26,9
"02338000",1990-10-10,34
"02333500",1991-04-08,28
"02343801",1990-03-30,22
"02358000",1990-11-02,7
"02353000",1991-05-23,13
"02358000",1991-11-14,4
"02358000",1991-03-02,13
"02358000",1991-03-02,9
"02353000",1990-07-11,5
"02353000",1990-09-24,8
"02338000",1991-12-02,72
"02358000",1990-02-19,16
"02353000",1991-11-07,2
"02333500",1991-03-29,1730
"02358000",1990-02-19,14
"02358000",1991-11-14,5
"02353000",1990-07-26,10
"02343801",1990-11-05,11
"02331600",1990-09-10,28
"02338000",1991-01-30,113
"02333500",1990-12-06,6
"02358000",1991-03-11,17
"02331600",1990-03-17,816
"02358000",1990-12-19,7
"02338000",1990-08-27,16
"02358000",1990-12-19,6
"02331600",1991-10-03,5
"02333500",1990-06-19,8
"02358000",1991-03-05,21
"02333500",1990-03-26,39
"02338000",1991-02-25,39
"02358000",1991-03-02,10
"02353000",1990-12-14,10
"02353000",1991-01-18,24
"02333500",1990-06-19,9
"02338000",1990-03-12,49
"02353000",1991-01-18,29
"02358000",1990-02-23,16
"02331600",1991-02-28,6
"02353000",1990-03-27,41
"02358000",1990-02-10,12
"02358000",1990-02-10,14
"02358000",1991-03-11,20
"02358000",1990-01-24,16
"02358000",1990-12-19,8
"02358000",1990-02-14,11
"02358000",1991-03-06,24
"02358000",1991-03-03,14
"02353000",1990-04-11,27
"02331600",1990-05-10,83
"02358000",1990-02-14,14
"02353000",1991-12-06,4
"02331600",1991-04-11,19
"02333500",1991-08-15,31
"02333500",1991-01-17,4
"02358000",1990-02-23,23
"02358000",1991-11-14,4
"02338000",1991-09-09,38
"02333500",1990-05-10,116
"02353000",1990-03-22,101
"02333500",1990-09-10,63
"02358000",1990-02-14,14
"02353000",1990-05-16,10
"02358000",1991-03-03,18
"02358000",1990-03-02,25
"02358000",1990-01-24,20
"02358000",1990-11-02,10
"02333500",1991-02-21,41
"02338000",1991-09-09,33
"02358000",1990-02-23,23
"02338000",1990-04-23,16
"02358000",1991-03-06,25
"02358000",1990-02-14,12
"02331600",1990-10-22,14
"02333500",1990-02-27,9
"02358000",1990-03-02,22
"02358000",1990-11-02,7
"02358000",1990-11-02,9
"02358000",1990-02-19,19
"02353000",1990-03-29,14
"02331600",1990-01-11,6
"02338000",1990-08-27,17
"02358000",1990-02-14,13
"02358000",1990-03-02,24
"02358000",1990-02-14,15
"02358000",1991-03-02,11
"02358000",1991-03-06,22
"02353000",1991-07-11,10
"02358000",1990-11-20,6
"02353000",1990-06-15,13
"02333500",1991-06-28,52
"02331600",1990-02-27,7
"02358000",1990-02-19,14
"02358000",1990-02-10,12
"02353000",1990-11-02,9
"02358000",1990-12-19,5
"02358000",1990-02-26,16
"02358000",1991-03-02,11
"02358000",1990-01-24,17
"02353000",1990-04-02,9
"02331600",1990-05-10,86
"02358000",1990-02-19,18
"02358000",1990-01-24,18
"02358000",1990-03-02,19
"02358000",1991-03-11,20
"02358000",1990-01-24,15
"02338000",1991-07-29,45
"02353000",1990-04-11,28
"02358000",1991-03-03,18
"02353000",1990-01-24,13
"02353000",1990-05-11,31
"02358000",1990-02-26,17
"02358000",1990-11-02,9
"02358000",1990-12-19,6
"02333500",1990-01-11,13
"02331600",1990-06-19,9
"02333500",1990-05-10,112
"02353000",1990-03-18,31
"02338000",1991-06-10,34
"02358000",1990-02-14,13
"02333500",1990-01-11,11
"02358000",1990-02-14,13
"02358000",1990-02-10,13
"02331600",1990-09-10,26
"02358000",1990-02-23,25
"02353000",1990-06-15,13
"02331600",1990-08-06,16
"02358000",1990-02-14,14
"02358000",1990-02-14,15
"02338000",1991-01-30,101
"02358000",1990-02-26,20
"02358000",1990-03-02,27
"02358000",1990-11-02,9
"02358000",1990-02-23,25
"02358000",1990-12-19,7
"02343801",1990-07-11,7
"02358000",1990-02-26,23
"02343801",1990-08-22,7
"02331600",1990-06-19,9
"02358000",1991-03-03,13
"02358000",1990-01-24,15
"02358000",1994-07-13,83
"02358000",1994-08-12,14
