"site_no","date","sscmgL"
"02358000",1990-09-10,2
"02358000",1991-06-29,11
"02358000",1992-06-19,11
"02358000",1993-09-27,8
"02358000",1990-05-21,7
"02358000",1992-06-19,9
"02358000",1991-05-01,6
"02358000",1994-07-08,92
"02358000",1990-09-10,2
"02358000",1994-07-11,67
"02358000",1994-07-08,148
"02358000",1991-06-28,10
"02358000",1991-06-25,6
"02358000",1990-04-17,17
"02358000",1993-09-27,2
"02358000",1991-07-02,8
"02358000",1990-07-16,10
"02358000",1994-07-11,50
"02358000",1991-07-01,7
"02358000",1991-06-25,6
"02358000",1990-05-21,10
"02358000",1990-05-21,9
"02358000",1990-09-10,5
"02358000",1990-09-10,5
"02358000",1990-07-16,10
"02358000",1991-05-22,36
"02358000",1994-06-02,6
"02358000",1994-08-12,16
"02358000",1990-05-21,7
"02358000",1991-05-22,16
"02358000",1990-09-10,3
"02358000",1993-08-06,7
"02358000",1994-09-30,9
"02358000",1993-05-14,15
"02358000",1990-05-21,9
"02358000",1990-07-16,12
"02358000",1991-05-01,1
"02358000",1991-07-02,7
"02358000",1994-07-08,58
"02358000",1990-05-21,8
"02358000",1991-09-26,3
"02358000",1992-09-18,13
"02358000",1991-07-02,7
"02358000",1991-07-01,3
"02358000",1991-07-01,6
"02358000",1990-09-10,6
"02358000",1991-06-25,4
"02358000",1994-05-12,7
"02358000",1993-09-27,5
"02358000",1991-06-29,8
"02358000",1993-05-14,13
"02358000",1994-06-02,4
"02358000",1990-09-10,7
"02358000",1991-06-28,12
"02358000",1991-07-02,7
"02358000",1991-07-02,7
"02358000",1990-07-16,12
"02358000",1990-04-17,13
"02358000",1991-09-26,1
"02358000",1991-07-01,8
"02358000",1991-05-22,10
"02358000",1994-07-06,51
"02358000",1990-04-17,11
"02358000",1993-08-06,8
"02358000",1993-08-06,13
"02358000",1990-05-21,7
"02358000",1994-07-13,67
"02358000",1992-05-22,5
"02358000",1993-09-27,3
"02358000",1993-09-27,3
"02358000",1990-04-17,13
"02358000",1991-06-29,10
"02358000",1991-08-12,8
"02358000",1990-05-21,6
"02358000",1991-05-22,9
"02358000",1990-07-16,12
"02358000",1991-05-22,10
"02358000",1990-07-16,12
"02358000",1991-05-22,9
"02358000",1991-08-12,11
"02358000",1990-04-17,11
"02358000",1993-09-27,1
"02353000",1994-12-14,15
"02331600",1994-08-08,10
"02358000",1994-03-05,14
"02351860",1994-03-14,9
"02353000",1994-07-08,54
"02351860",1994-05-09,13
"02335000",1994-05-16,8
"02352980",1994-05-11,9
"02344752",1994-03-07,16
"02331247",1994-05-25,12
"02337500",1994-06-24,8
"02349685",1994-05-09,12
"023358694",1994-09-12,6
"02353000",1994-07-07,57
"02347875",1994-03-17,8
"02337500",1994-02-17,7
"02358000",1994-03-05,17
"02353000",1994-07-11,57
"02338000",1994-05-23,20
"02356980",1994-01-30,12
"02353000",1994-07-09,51
"02350080",1994-05-10,16
"02332810",1994-03-10,46
"02336300",1994-09-12,3
"02358000",1994-03-28,14
"02349350",1994-05-12,22
"02335870",1994-02-03,13
"02338000",1994-06-07,69
"02358000",1994-12-01,11
"02336300",1994-04-22,7
"02356980",1994-01-26,NA
"02356980",1994-01-12,1
"02356960",1994-03-16,11
"02353000",1994-07-08,63
"023415605",1994-03-16,24
"02356980",1994-01-31,17
"02351890",1994-03-15,17
"02333500",1994-12-12,10
"023358694",1994-02-23,1180
"02353000",1994-05-25,5
"02335870",1994-07-19,12
"02335870",1994-01-27,13
"02358000",1993-03-24,22
"02336130",1994-03-08,6
"023358694",1994-03-24,1250
"02358000",1994-03-06,17
"02350080",1994-07-05,63
"02358000",1994-03-05,18
"02356980",1994-05-10,10
"023358694",1994-02-23,1100
"02356980",1994-02-08,2
"02353000",1994-10-07,20
"02335000",1994-08-16,3
"02342111",1994-05-13,11
"02336380",1994-05-18,27
"02344752",1994-05-16,19
"02338000",1994-07-05,468
"02358000",1994-03-18,13
"02335000",1994-06-27,394
"02353000",1994-07-12,55
"02358000",1994-12-01,11
"02356980",1994-03-02,14
"02336300",1994-06-27,1100
"02347500",1994-03-17,17
"02353000",1994-07-13,30
"02338000",1994-08-18,165
"02332830",1994-03-27,2280
"02337500",1994-01-19,4
